run_accession	sample_alias
ERR4046818	NHP1529
ERR4023765	NHP1533
ERR4023767	NHP1534
ERR4023777	NHP1570
ERR4046822	NHP1568
ERR4023787	NHP1575
ERR4023806	NHP1585
ERR4023810	NHP1588
ERR4023814	NHP1593
ERR4023856	NHP1617
ERR4023860	NHP1619
ERR4023868	NHP1623
ERR4023874	NHP1626
ERR4023901	NHP1635
ERR4023950	NHP1655
ERR4023959	NHP1658
ERR4024044	NHP1677
ERR4024052	NHP1684
ERR4024079	NHP1699
ERR4046834	NHP1703
ERR4046838	NHP1708
ERR4046842	NHP1711
ERR4024033	NHP1732
ERR4024038	NHP1735
ERR4024042	NHP1739
ERR4024046	NHP1741
ERR4024051	NHP1744
ERR4024105	NHP1787
ERR4046859	NHP1794
ERR4024077	NHP1765
ERR4024081	NHP1769
ERR4024123	NHP1800
ERR4045787	NHP1805
ERR4024087	NHP1772
ERR4045823	NHP1814
ERR4046863	NHP1816
ERR4139354	NHP1778
ERR4046867	NHP1819
ERR4045880	NHP1832
ERR4046042	NHP1895
ERR4045928	NHP1852
ERR4046879	NHP1855
ERR4046050	NHP1898
ERR4046059	NHP1901
ERR4046887	NHP1863
ERR4045966	NHP1869
ERR4046014	NHP1884
ERR4046022	NHP1888
ERR4046030	NHP1890
ERR4046080	NHP1967
ERR4046092	NHP1971
ERR4046096	NHP1972
ERR4046108	NHP1975
ERR4045881	NHP1981
ERR4046120	NHP2011
ERR4045921	NHP1992
ERR4046562	NHP1994
ERR4045933	NHP1996
ERR4045946	NHP1999
ERR4045801	NHP2029
ERR4045817	NHP2036
ERR4045833	NHP2040
ERR4045886	NHP2054
ERR4045878	NHP2052
ERR4045841	NHP2042
ERR4045906	NHP2059
ERR4045968	NHP2074
ERR4045976	NHP2076
ERR4046012	NHP2085
ERR4046024	NHP2088
ERR4045903	NHP2162
ERR4046117	NHP2115
ERR4046133	NHP2119
ERR4046150	NHP2124
ERR4045923	NHP2169
ERR4045940	NHP2174
ERR4045847	NHP2147
ERR4045965	NHP2183
ERR4045977	NHP2180
ERR4046162	NHP2128
ERR4046085	NHP2106
ERR4046101	NHP2110
ERR4046001	NHP2193
ERR4046025	NHP2200
ERR4046049	NHP2256
ERR4046062	NHP2259
ERR4046070	NHP2261
ERR4046082	NHP2265
ERR4046915	NHP2269
ERR4046106	NHP2274
ERR4046122	NHP2280
ERR4046141	NHP2285
ERR4046071	NHP2290
ERR4046098	NHP2288
ERR4046103	NHP2299
ERR4046111	NHP2303
ERR4046115	NHP2304
ERR4139366	NHP2306
ERR4045788	NHP2322
ERR4046151	NHP2364
ERR4046159	NHP2367
ERR4046191	NHP2380
ERR4046203	NHP2386
ERR4046211	NHP2390
ERR4046223	NHP2393
ERR4045861	NHP2352
ERR4046928	NHP2350
ERR4046138	NHP2359
ERR4046147	NHP2361
ERR4046268	NHP2408
ERR4046272	NHP2410
ERR4046167	NHP2373
ERR4046555	NHP2369
ERR4046284	NHP2414
ERR4046296	NHP2417
ERR4046304	NHP2420
ERR4046321	NHP2428
ERR4046345	NHP2435
ERR4139379	NHP2439
ERR4139382	NHP2443
ERR4046398	NHP2453
ERR4046402	NHP2455
ERR4046414	NHP2460
ERR4139385	NHP2459
ERR4046422	NHP2468
ERR4046434	NHP2471
ERR4046471	NHP2483
ERR4046487	NHP2487
ERR4046499	NHP2491
ERR4046507	NHP2493
ERR4046523	NHP2498
ERR4046536	NHP2501
ERR4046548	NHP2506
ERR4046180	NHP2511
ERR4046172	NHP2509
ERR4046204	NHP2518
ERR4046216	NHP2521
ERR4046224	NHP2523
ERR4046233	NHP2526
ERR4046237	NHP2527
ERR4046261	NHP2535
ERR4046273	NHP2541
ERR4046285	NHP2545
ERR4046346	NHP2566
ERR4046355	NHP2568
ERR4046375	NHP2574
ERR4046383	NHP2578
ERR4046419	NHP2587
ERR4046427	NHP2589
ERR4046460	NHP2599
ERR4046604	NHP2601
ERR4046476	NHP2605
ERR4046488	NHP2608
ERR4046496	NHP2615
ERR4046504	NHP2618
ERR4046508	NHP2623
ERR4046516	NHP2626
ERR4046201	NHP2648
