SANGER_ID	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	nominal_length	library_selection	first_public	study_title	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_ftp	submitted_galaxy	sra_bytes	sra_md5	sra_ftp	sample_alias	broker_name	sample_title.1	nominal_sdev
G18000269	SAMEA5855767	ERS3644287	ERX4665218	ERR4795448	573	Klebsiella pneumoniae	457	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000293	SAMEA5855769	ERS3644289	ERX4665219	ERR4795449	573	Klebsiella pneumoniae	448	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000350	SAMEA5855771	ERS3644291	ERX4665221	ERR4795451	573	Klebsiella pneumoniae	428	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000379	SAMEA5855772	ERS3644292	ERX4665222	ERR4795452	573	Klebsiella pneumoniae	455	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000384	SAMEA5855773	ERS3644293	ERX4665223	ERR4795453	573	Klebsiella pneumoniae	461	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000320	SAMEA5855639	ERS3644160	ERX4665224	ERR4795454	573	Klebsiella pneumoniae	460	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000326	SAMEA5855640	ERS3644161	ERX4665225	ERR4795455	573	Klebsiella pneumoniae	452	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000431	SAMEA5855776	ERS3644296	ERX4665226	ERR4795456	573	Klebsiella pneumoniae	456	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000338	SAMEA5855642	ERS3644163	ERX4665227	ERR4795457	573	Klebsiella pneumoniae	442	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G18000340	SAMEA5855643	ERS3644164	ERX4665229	ERR4795459	573	Klebsiella pneumoniae	437	RANDOM	04/11/2020	NIHR_Global_Health_Research_Unit_on_Genomic_Surveillance_of_Antimicrobial_Resistance	SC_RUN_31231_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
